title,link,relevance_score
"Manufacturing,",https://www.fuzu.com/kenya/job/manufacturing,0
"Teaching, training,",https://www.fuzu.com/kenya/job/teaching-training,0
"Marketing, advertising,",https://www.fuzu.com/kenya/job/marketing-advertising,0
"Non-profit, social work,",https://www.fuzu.com/kenya/job/non-profit-social,0
"Raw materials, oil, chemicals,",https://www.fuzu.com/kenya/job/raw-materials,0
"Outsourcing, leasing,",https://www.fuzu.com/kenya/job/outsourcing-leasing,0
"Restaurant, hospitality, travel,",https://www.fuzu.com/kenya/job/restaurant-hospitality,0
"Retail, wholesale, FMCG,",https://www.fuzu.com/kenya/job/retail-wholesale,0
"Telecommunications,",https://www.fuzu.com/kenya/job/telecommunications,0
"Real estate,",https://www.fuzu.com/kenya/job/real-estate,0
"Textile, fashion,",https://www.fuzu.com/kenya/job/textile-fashion,0
"Transportation, logistics, storage,",https://www.fuzu.com/kenya/job/transportation-logistics,0
"Mid-level,",https://www.fuzu.com/kenya/job/middle,0
"Entry and Basic-level,",https://www.fuzu.com/kenya/job/basic,0
"Senior-level,",https://www.fuzu.com/kenya/job/senior,0
EXPERTE OU EXPERT FINANCE RÉGIONAL - POOL MOYEN-ORIENT - FRANCE,https://reliefweb.int/job/4192439/experte-ou-expert-finance-regional-pool-moyen-orient-france,0
RFP - Organisational Development for the Public Service Commission,https://reliefweb.int/job/4192437/rfp-organisational-development-public-service-commission,0
Arabic Language Video Presenter,https://reliefweb.int/job/4192405/arabic-language-video-presenter,0
Arabic Media Specialist,https://reliefweb.int/job/4192404/arabic-media-specialist,0
Humanitarian access and risk advisor(F/M) - Ethiopia,https://reliefweb.int/job/4192391/humanitarian-access-and-risk-advisorfm-ethiopia,0
FEWS NET Regional Technical Sr. Specialist-Livelihoods - Middle East and Europe,https://reliefweb.int/job/4192390/fews-net-regional-technical-sr-specialist-livelihoods-middle-east-and-europe,0
Administrative coordinator (F/M) - Syria,https://reliefweb.int/job/4192389/administrative-coordinator-fm-syria,0
Logisticien Kalemie (F/H) - République Démocratique du Congo,https://reliefweb.int/job/4192388/logisticien-kalemie-fh-republique-democratique-du-congo,0
Field coordinator Aleppo (F/M) - Syria,https://reliefweb.int/job/4192385/field-coordinator-aleppo-fm-syria,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192383/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192382/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192381/climate-adaptation-resilience-lead,0
Climate Adaptation & Resilience Lead,https://reliefweb.int/job/4192380/climate-adaptation-resilience-lead,0
Head of Digital Engagement,https://reliefweb.int/job/4192373/head-digital-engagement,0
General coordinator (head of mission) (F/M) - Ethiopia,https://reliefweb.int/job/4192368/general-coordinator-head-mission-fm-ethiopia,0
Screen-printing Project Coordinator,https://reliefweb.int/job/4192366/screen-printing-project-coordinator,0
Field Coordinator,https://reliefweb.int/job/4192364/field-coordinator,0
Logistic Assistant,https://reliefweb.int/job/4192356/logistic-assistant,0
Accountant,https://reliefweb.int/job/4192355/accountant,0
